City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Aracati,BR,76.6,light rain,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
2,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
3,Butaritari,KI,81.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
12,Takoradi,GH,79.93,light rain,4.8845,-1.7554,Raybow International Hotel
13,Mamburao,PH,89.33,broken clouds,13.25,120.6667,UPPER(tii)
14,Poum,NC,78.64,broken clouds,-20.2333,164.0167,
17,Sur,OM,85.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
20,Kavieng,PG,85.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
22,Basco,PH,83.98,broken clouds,20.4487,121.9702,Nathaniel's Lodge
27,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
37,Gamba,GA,76.93,broken clouds,-2.65,10.0,
50,Buraydah,SA,76.3,clear sky,26.326,43.975,Mövenpick Qassim
56,Champerico,GT,84.49,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
62,Oranjestad,AW,80.94,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
64,Rikitea,PF,77.07,few clouds,-23.1203,-134.9692,People ThankYou
70,Kavaratti,IN,85.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
80,Avarua,CK,80.85,few clouds,-21.2078,-159.775,Paradise Inn
82,Hithadhoo,MV,84.42,overcast clouds,-0.6,73.0833,Scoop Guest House
83,San Patricio,US,80.83,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Atuona,PF,79.14,scattered clouds,-9.8,-139.0333,Villa Enata
89,Kilindoni,TZ,80.26,clear sky,-7.9139,39.6668,Bustani B&B
91,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
92,Quatre Cocos,MU,77.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
94,Itarema,BR,75.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
99,Touros,BR,76.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
101,Dhidhdhoo,MV,84.29,overcast clouds,6.8833,73.1,Dhidhoo beach
104,Candolim,IN,86.0,moderate rain,15.5181,73.7626,Resort Terra Paraiso
107,Diu,IN,85.93,overcast clouds,20.7141,70.9822,Hotel Relax Inn
108,Mahibadhoo,MV,84.52,overcast clouds,3.7833,72.9667,Omadhoo Inn
114,Allapalli,IN,88.07,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
126,Tuy Hoa,VN,88.39,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
127,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
129,Nuqui,CO,76.91,moderate rain,5.7125,-77.2708,Hotel Nuquimar
131,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
142,Carnarvon,AU,84.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
145,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
147,Suba,PH,84.07,few clouds,10.8438,121.0102,Jarnchi Pension House
150,Auki,SB,85.39,overcast clouds,-8.7676,160.7034,Auki Motel
151,Mae Hong Son,TH,82.54,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
154,Hambantota,LK,84.79,overcast clouds,6.1241,81.1185,Bungalow 63
161,Paka,MY,85.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
163,Victoria,HK,78.85,moderate rain,22.2855,114.1577,Mini Hotel Central
167,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
169,Bambous Virieux,MU,77.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
176,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
180,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
187,Tabas,IR,77.85,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
196,Buala,SB,84.42,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
198,Guilin,CN,75.31,broken clouds,25.2819,110.2864,Grand 0773 Hotel
199,Airai,TL,75.42,broken clouds,-8.9266,125.4092,
203,Tecoanapa,MX,81.07,broken clouds,16.5167,-98.75,Hotel Manglares
207,Namatanai,PG,85.82,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
212,Kroya,ID,86.41,few clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
214,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
215,Manaus,BR,79.3,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
219,Kukuna,SL,77.81,scattered clouds,9.4,-12.6667,
220,Sabang,ID,84.65,overcast clouds,5.8933,95.3214,Hotel Citra
223,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
232,Lethem,GY,76.51,scattered clouds,3.3803,-59.7968,Savannah Inn
238,Koumac,NC,80.82,broken clouds,-20.5667,164.2833,Le Monitel
240,Poso,ID,87.84,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
241,Sao Jose Da Coroa Grande,BR,76.05,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
245,Faanui,PF,82.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Makasar,ID,87.85,few clouds,-5.14,119.4221,Aryaduta Makassar
250,Bengkulu,ID,82.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
259,Kanniyakumari,IN,84.56,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
263,Akyab,MM,77.88,overcast clouds,20.15,92.9,Hotel Memory
264,Atar,MR,85.5,clear sky,20.5169,-13.0499,Oumou Elghoura
267,Aswan,EG,78.42,scattered clouds,24.0934,32.907,Nuba Nile
273,Kudahuvadhoo,MV,84.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
279,Ko Samui,TH,84.11,few clouds,9.5357,99.9357,The Passage
282,Banda Aceh,ID,86.85,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
284,Manggar,ID,87.33,broken clouds,-2.8833,108.2667,Guest Hotel
285,Samarai,PG,85.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
287,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
289,Sao Paulo Do Potengi,BR,75.31,broken clouds,-5.895,-35.7628,Pousada Santa Clara
293,Taoudenni,ML,85.57,clear sky,22.6783,-3.9836,
294,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
296,Lagos,NG,80.92,broken clouds,6.5833,3.75,
298,Ugoofaaru,MV,84.25,overcast clouds,5.6667,73.0,Ungoofaaru Inn
301,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
302,Panaba,MX,78.67,clear sky,21.2833,-88.2667,Hotel California
306,Gewane,ET,80.19,clear sky,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
307,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
317,Gushikawa,JP,80.19,light intensity drizzle,26.3544,127.8686,Kirari Guest House
326,Nabire,ID,85.96,light rain,-3.3667,135.4833,Hotel Nusantara I
328,Qandala,SO,82.87,clear sky,11.472,49.8728,
335,Kirakira,SB,84.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
336,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
338,Mora,CM,88.79,overcast clouds,11.0461,14.1401,Hotel Emergence
339,Catuday,PH,84.49,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
351,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
354,Biak,ID,79.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
357,Cairns,AU,80.55,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
358,Singaparna,ID,85.66,scattered clouds,-7.3515,108.111,Wisma Dewi Hotel
359,Wanning,CN,85.68,overcast clouds,18.8003,110.3967,Paradise Hotel
365,Katobu,ID,85.78,overcast clouds,-4.9408,122.5276,La Ode Husein
374,Nan,TH,80.62,few clouds,18.8333,100.6667,สะเนียน2
379,Dale,US,77.18,overcast clouds,38.1689,-86.99,"Motel 6 Dale, IN"
382,Houma,US,75.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
385,Thibodaux,US,75.18,clear sky,29.7958,-90.8229,Hampton Inn & Suites Thibodaux
392,Kalmunai,LK,84.88,broken clouds,7.4167,81.8167,VS Villa
396,Gopalpur,IN,84.76,broken clouds,19.2667,84.9167,Gopalpur Palm Resort
400,Adrar,MR,82.8,few clouds,20.5022,-10.0711,
404,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
